CASEID,weight,wdtotal,wdprmor,fmsz27,nbear27,dvfcrn, atinc27 ,wdstcred,wdsloan,wnetwpg,dvphlv2g,hcsex_r,wdstomor,wdstloc,ecpage,ecfexchr,watotpt
233,53.0331,125000,125000,4,2,1,287000,0,0,2485400,2,1,0,0,68,0,2610400
234,3434.13,66000,40000,4,3,2,84725,0,0,471500,3,1,0,26000,47,0,522500
235,7727.8115,197300,195000,3,1,3,79125,0,0,198951,3,2,0,2300,30,825,395751
236,6017.277,108000,100000,2,2,3,76875,8000,0,481000,2,2,0,0,52,0,606500
237,278.9816,241900,210000,4,2,2,132625,1900,0,200850,4,2,0,0,32,4100,440250
238,145.1593,88000,85000,4,2,3,110650,3000,0,937000,4,1,0,0,48,0,1040000
239,4235.1168,158000,130000,4,2,3,78375,12000,3000,638200,3,1,0,13000,46,17500,806200
240,4398.4672,61500,29000,4,2,1,123275,9500,0,721750,4,1,0,10000,39,3900,758250
241,4638.6686,123500,110000,2,2,1,63625,5750,0,327850,2,2,0,0,56,0,451350
242,4664.4447,291900,290000,3,3,1,105550,1900,0,14370,4,2,0,0,51,0,306270
243,5262.0377,200000,200000,1,1,9,42575,0,0,11700,1,1,0,0,41,0,210700
244,4759.7696,185225,165000,4,2,3,85075,225,0,306225,3,1,0,20000,44,0,490450
245,4430.1119,87825,65000,3,2,3,43750,825,0,315175,3,2,0,0,46,0,403000
246,4371.6204,410000,410000,5,2,2,97250,0,0,473250,4,1,0,0,41,12500,883250
247,220.5367,103200,85000,3,3,2,122550,2200,0,938800,3,1,0,0,53,0,1043000
248,4697.6439,78550,72500,5,2,2,42450,5000,0,64300,3,1,0,1050,37,575,142850
249,5686.2167,44050,43000,1,1,1,19975,1050,0,203350,2,2,0,0,64,0,249900
250,5647.9677,240000,175000,3,3,3,73175,41000,0,313501,2,1,0,0,60,0,558501
251,3673.7316,50000,50000,4,2,2,84675,0,0,472000,3,1,0,0,37,0,522000
252,401.3166,79125,55000,2,2,1,80450,875,0,434551,3,1,0,8250,48,0,523676
253,4477.9789,227000,190000,3,2,3,46400,37000,0,112000,4,2,0,0,38,0,339000
254,3390.2869,216800,175000,5,2,3,43850,4400,14000,77200,4,2,0,3400,35,7250,294000
255,5684.8696,152300,145000,2,1,2,39300,4000,3300,597200,3,1,0,0,65,0,739500
256,4784.1038,75500,67500,5,1,2,49675,0,0,60700,3,1,0,8000,28,0,136200
257,4906.5976,122950,97500,3,3,2,72350,0,7000,196550,3,1,0,10500,47,0,319500
258,4128.9623,219550,180000,5,3,2,94850,1050,19000,169450,3,2,0,19500,49,0,378000
259,4481.9798,235275,95000,4,1,2,44750,1850,57500,744275,4,2,0,80000,46,450,979550
260,2456.1113,111900,105000,2,2,1,66075,3900,0,237150,2,1,0,3000,52,0,349050
261,290.2228,409000,390000,4,2,3,238450,19000,0,8204250,4,1,0,0,38,21000,8602250
262,6133.6356,92500,92500,2,2,3,341800,0,0,1253500,4,1,0,0,35,0,1241000
263,253.3398,534000,490000,4,2,2,76350,0,0,3274001,4,1,0,44000,52,0,3808001
264,6092.9629,94500,60000,3,2,1,76150,0,0,216900,3,1,0,18000,29,0,307400
265,1396.4281,62500,62500,1,1,9,4625,0,0,52600,1,2,0,0,58,0,115100
266,1556.6805,30000,15500,1,1,2,49925,14500,0,454200,3,1,0,0,53,4800,444200
267,4185.0071,118750,95000,5,3,2,130950,2500,4750,60700,3,2,0,16500,48,0,172250
268,4029.7601,185000,185000,3,2,2,43750,0,0,108075,4,1,0,0,43,0,293075
269,1133.1894,67200,46000,3,3,3,62325,1200,0,658800,2,2,0,0,46,0,726000
270,4247.4552,298000,175000,5,3,2,64250,46000,8000,63600,4,1,0,40000,52,0,361600
271,4573.6355,60000,60000,3,3,3,72450,0,0,382325,3,1,0,0,54,0,442825
272,6564.822,70000,70000,4,2,2,36650,0,0,3368000,4,2,0,0,38,0,3438000
273,3582.6317,45800,40000,4,3,1,75600,1900,0,638450,3,1,0,0,56,0,664250
274,1536.8752,57500,57500,2,0,3,30000,0,0,808900,1,1,0,0,69,4200,866400
275,5905.3024,224000,27000,4,3,1,29900,0,0,2921425,3,2,0,185000,41,0,3145425
276,1715.8139,86700,82500,1,1,1,46500,0,0,105800,2,1,0,2100,31,0,192500
277,7652.351,92000,82500,4,2,2,139750,0,0,800325,2,1,0,9500,43,23000,892325
278,426.8571,59500,18000,4,3,1,127400,11500,0,763000,3,1,0,30000,46,0,742500
279,4021.461,205750,160000,5,2,2,68050,4750,0,405250,2,1,0,41000,41,5000,611000
280,241.3992,230000,230000,2,2,1,80650,0,0,246050,4,1,0,0,41,0,466050
281,4349.7562,260000,260000,4,2,3,82725,0,0,279901,4,1,0,0,43,10000,539901
282,5526.3584,48000,40000,4,1,2,37025,0,0,260250,2,1,0,8000,38,0,308250
283,188.8348,138500,105000,3,3,1,132675,0,0,729900,4,1,0,14000,48,0,848400
284,480.7481,3900,2000,1,1,9,22750,1900,0,1350,1,2,0,0,40,0,5250
285,207.566,455000,155000,5,2,1,392275,0,0,3672751,4,1,0,300000,47,0,4111751
286,4230.4455,132000,110000,2,1,1,26800,0,0,144500,4,1,0,22000,54,0,276500
287,2403.4497,38750,18500,1,0,2,34775,5750,0,508500,1,1,0,0,64,0,557250
288,2379.3338,11500,10500,1,1,2,66925,1000,0,460500,2,2,0,0,53,0,471250
289,153.4533,300000,300000,2,1,3,56225,0,0,1953000,4,2,0,0,52,0,2253000
290,3121.7047,52850,48000,1,1,1,19075,150,0,52150,3,2,0,4700,55,0,104750
291,3514.0166,57500,57500,2,1,1,30400,0,0,187500,2,1,0,0,66,0,244000
292,565.5191,208000,140000,5,3,1,78100,6000,0,139300,1,1,0,20000,39,2400,302300
293,195.7419,130000,100000,5,3,3,327200,9000,0,1678250,4,1,0,21000,49,0,1808250
294,6169.8169,98200,95000,3,2,1,77875,2200,0,402800,2,1,0,1000,56,0,501000
295,4116.7149,105090,105000,2,2,1,36775,0,0,134160,2,2,0,90,60,0,239250
